language,title,metadata_downloads,metadata_url,author_name,publication_month,publication_year
en,Pride and Prejudice,36576,https://www.gutenberg.org/ebooks/1342,"Austen, Jane",June,1998
en,The Yellow Wallpaper,26363,https://www.gutenberg.org/ebooks/1952,"Gilman, Charlotte Perkins",November,1999
en,Alice's Adventures in Wonderland,18882,https://www.gutenberg.org/ebooks/11,"Carroll, Lewis",March,1994
en,"Frankenstein; Or, The Modern Prometheus",17128,https://www.gutenberg.org/ebooks/84,"Shelley, Mary Wollstonecraft",June,2008
en,Metamorphosis,15683,https://www.gutenberg.org/ebooks/5200,"Kafka, Franz",August,2005
en,Adventures of Huckleberry Finn,15347,https://www.gutenberg.org/ebooks/76,"Twain, Mark",August,2006
en,The Importance of Being Earnest: A Trivial Comedy for Serious People,13638,https://www.gutenberg.org/ebooks/844,"Wilde, Oscar",August,2006
en,The Adventures of Tom Sawyer,13237,https://www.gutenberg.org/ebooks/74,"Twain, Mark",August,2006
en,"Narrative of the Life of Frederick Douglass, an American Slave",12794,https://www.gutenberg.org/ebooks/23,"Douglass, Frederick",January,2006
en,A Doll's House : a play,11625,https://www.gutenberg.org/ebooks/2542,"Ibsen, Henrik",March,2001
en,"Moby Dick; Or, The Whale",11270,https://www.gutenberg.org/ebooks/2701,"Melville, Herman",June,2001
en,The Adventures of Sherlock Holmes,11125,https://www.gutenberg.org/ebooks/1661,"Doyle, Arthur Conan",October,1892
en,Great Expectations,11068,https://www.gutenberg.org/ebooks/1400,"Dickens, Charles",July,1998
en,Ulysses,10568,https://www.gutenberg.org/ebooks/4300,"Joyce, James",July,2003
en,A Tale of Two Cities,10312,https://www.gutenberg.org/ebooks/98,"Dickens, Charles",January,1994
en,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",10014,https://www.gutenberg.org/ebooks/1080,"Swift, Jonathan",October,1997
en,Dracula,9852,https://www.gutenberg.org/ebooks/345,"Stoker, Bram",August,2013
en,The Prince,9690,https://www.gutenberg.org/ebooks/1232,"Machiavelli, Niccolo",February,2006
en,The Picture of Dorian Gray,9681,https://www.gutenberg.org/ebooks/174,"Wilde, Oscar",June,2008
en,War and Peace,9580,https://www.gutenberg.org/ebooks/2600,"Tolstoy, Leo, graf",January,1870
en,Grimms' Fairy Tales,9016,https://www.gutenberg.org/ebooks/2591,"Grimm, Wilhelm",April,2001
en,"The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",8559,https://www.gutenberg.org/ebooks/27827,Vatsyayana,January,2009
en,Emma,8513,https://www.gutenberg.org/ebooks/158,"Austen, Jane",August,1994
en,Beowulf: An Anglo-Saxon Epic Poem,8199,https://www.gutenberg.org/ebooks/16328,Unknown,July,2005
en,Les Misérables,7900,https://www.gutenberg.org/ebooks/135,"Hugo, Victor",June,2008
en,The Romance of Lust: A Classic Victorian erotic novel,7458,https://www.gutenberg.org/ebooks/30254,Anonymous,October,2009
en,Jane Eyre: An Autobiography,7449,https://www.gutenberg.org/ebooks/1260,"Bronte, Charlotte",April,2007
en,Leaves of Grass,6899,https://www.gutenberg.org/ebooks/1322,"Whitman, Walt",May,1998
en,Dubliners,6879,https://www.gutenberg.org/ebooks/2814,"Joyce, James",September,2001
en,Sense and Sensibility,6503,https://www.gutenberg.org/ebooks/161,"Austen, Jane",May,2008
en,Leviathan,6411,https://www.gutenberg.org/ebooks/3207,"Hobbes, Thomas",May,2002
en,The Strange Case of Dr. Jekyll and Mr. Hyde,6410,https://www.gutenberg.org/ebooks/42,"Stevenson, Robert Louis",October,1992
en,Treasure Island,6396,https://www.gutenberg.org/ebooks/120,"Stevenson, Robert Louis",February,2006
en,Wuthering Heights,6237,https://www.gutenberg.org/ebooks/768,"Bronte, Emily",April,2007
en,Heart of Darkness,5875,https://www.gutenberg.org/ebooks/219,"Conrad, Joseph",February,1995
en,"The Count of Monte Cristo, Illustrated",5861,https://www.gutenberg.org/ebooks/1184,"Dumas, Alexandre",January,1998
en,Gulliver's Travels into Several Remote Nations of the World,5752,https://www.gutenberg.org/ebooks/829,"Swift, Jonathan",June,2009
en,"The Awakening, and Selected Short Stories",5702,https://www.gutenberg.org/ebooks/160,"Chopin, Kate",March,2006
en,Peter Pan,5657,https://www.gutenberg.org/ebooks/16,"Barrie, J. M. (James Matthew)",July,1991
en,Siddhartha,5483,https://www.gutenberg.org/ebooks/2500,"Hesse, Hermann",April,2008
en,The Republic,5360,https://www.gutenberg.org/ebooks/1497,Plato,October,1998
en,Autobiography of Benjamin Franklin,5169,https://www.gutenberg.org/ebooks/20203,"Franklin, Benjamin",December,2006
en,The Life and Adventures of Robinson Crusoe,5140,https://www.gutenberg.org/ebooks/521,"Defoe, Daniel",April,2010
en,"Songs of Innocence, and Songs of Experience",5115,https://www.gutenberg.org/ebooks/1934,"Blake, William",December,2008
en,Essays of Michel de Montaigne — Complete,5056,https://www.gutenberg.org/ebooks/3600,"Montaigne, Michel de",September,2006
en,"The Divine Comedy by Dante, Illustrated",4973,https://www.gutenberg.org/ebooks/8800,Dante Alighieri,September,2005
en,A Christmas Carol in Prose; Being a Ghost Story of Christmas,4741,https://www.gutenberg.org/ebooks/46,"Dickens, Charles",August,2004
en,A Study in Scarlet,4703,https://www.gutenberg.org/ebooks/244,"Doyle, Arthur Conan",April,1995
en,The Jungle Book,4526,https://www.gutenberg.org/ebooks/236,"Kipling, Rudyard",January,2006
en,Crime and Punishment,4483,https://www.gutenberg.org/ebooks/2554,"Dostoyevsky, Fyodor",March,2006
en,The Iliad,4443,https://www.gutenberg.org/ebooks/6130,Homer,September,2006
en,Beyond Good and Evil,4347,https://www.gutenberg.org/ebooks/4363,"Nietzsche, Friedrich Wilhelm",August,2003
en,Candide,4339,https://www.gutenberg.org/ebooks/19942,Voltaire,November,2006
en,"Steam, Its Generation and Use",4297,https://www.gutenberg.org/ebooks/22657,Babcock & Wilcox Company,September,2007
en,Pygmalion,4287,https://www.gutenberg.org/ebooks/3825,"Shaw, Bernard",March,2003
en,The Complete Works of William Shakespeare,4166,https://www.gutenberg.org/ebooks/100,"Shakespeare, William",January,1994
en,Oliver Twist,4066,https://www.gutenberg.org/ebooks/730,"Dickens, Charles",November,1996
en,Heart of Darkness,3957,https://www.gutenberg.org/ebooks/526,"Conrad, Joseph",January,2006
en,English Literature: Its History and Its Significance for the Life of the English-Speaking World,3933,https://www.gutenberg.org/ebooks/10609,"Long, William J. (William Joseph)",January,2004
en,An Occurrence at Owl Creek Bridge,3850,https://www.gutenberg.org/ebooks/375,"Bierce, Ambrose",March,2008
en,Second Treatise of Government,3842,https://www.gutenberg.org/ebooks/7370,"Locke, John",January,2005
en,The King James Version of the Bible,3776,https://www.gutenberg.org/ebooks/10,Unknown,March,2011
en,"My Secret Life, Volumes I. to III.: 1888 Edition",3765,https://www.gutenberg.org/ebooks/30360,Anonymous,January,1888
en,The Wonderful Wizard of Oz,3704,https://www.gutenberg.org/ebooks/55,"Baum, L. Frank (Lyman Frank)",July,2008
en,On Liberty,3683,https://www.gutenberg.org/ebooks/34901,"Mill, John Stuart",January,2011
en,The Hound of the Baskervilles,3677,https://www.gutenberg.org/ebooks/2852,"Doyle, Arthur Conan",October,2001
en,Three Men in a Boat,3647,https://www.gutenberg.org/ebooks/308,"Jerome, Jerome K. (Jerome Klapka)",October,2010
en,Through the Looking-Glass,3626,https://www.gutenberg.org/ebooks/12,"Carroll, Lewis",February,1991
en,The Time Machine,3599,https://www.gutenberg.org/ebooks/35,"Wells, H. G. (Herbert George)",October,2004
en,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself",3526,https://www.gutenberg.org/ebooks/15399,"Equiano, Olaudah",March,2005
en,The Jungle,3522,https://www.gutenberg.org/ebooks/140,"Sinclair, Upton",March,2006
de,Josefine Mutzenbacher: oder Die Geschichte einer Wienerischen Dirne von ihr selbst erzählt,3506,https://www.gutenberg.org/ebooks/31284,"Salten, Felix",February,2010
en,"Walden, and On The Duty Of Civil Disobedience",3501,https://www.gutenberg.org/ebooks/205,"Thoreau, Henry David",January,1995
en,Hard Times,3494,https://www.gutenberg.org/ebooks/786,"Dickens, Charles",March,2013
